"Actions","Azioni"
"Are you sure?","Si è sicuri?"
"Are you sure to empty log table?","Sicuro di voler svuotare la tabella di log?"
"Configuration","Configurazione"
"Connection","Connessione"
"File Transfer Configuration", "Configurazione trasferimento file"
"Created at","Data e ora"
"Created At","Data e ora"
"Description","Descrizione"
"Enable","Abilita"
"Enable debug","Abilita debug"
"Enable log","Abilita logging"
"Enable email","Abilita email"
"Email addresses","Destinatari Email"
"Separate email with comma","Separa gli indirizzi con le virgola"
"Enable or disable Webformat module","Abilita/Disabilita il modulo Webformat"
"Error occured after all retries","Errore dopo tutti i tentativi"
"failed","Fallito"
"Failed, waiting for a new retry","In attesa di un nuovo tentativo"
"General","Generale"
"hidden","Nascosto"
"Id","Id"
"Local or remote connection","Connessione remota o locale"
"Local path for export","Path locale per l'export"
"Local path for import","Path locale per l'import"
"Local server","Server locale"
"Log level","Livello di log"
"Logs","Logs del sistema"
"new","Nuovo"
"No","No"
"Planned at","Pianificazione"
"Remote path for export","Path server remoto per l'export"
"Remote path for import","Path server remoto per l'import"
"Remote server","Host remoto"
"Remote server (SFTP)","Server remoto (SFTP)"
"Retries","Tentativi"
"Retry is not allowed.","Reset del task non consentito."
"Retry","Reset"
"Retry","Retry"
"Retry tasks","Retry dei task"
"SFTP Password","SFTP Password"
"SFTP Username","SFTP Username"
"Show as alert","Allarme"
"Status","Stato"
"Truncate log table","Svuota la tabella di log"
"Type","Tipo"
"User id","Utente"
"User","Utente"
"waiting_for_retry","In attesa"
"Yes","Sì"
"Behavior", "Comportamento"
"Cron configuration example", "Esempio configurazione Cron"
"API Soap service up and running", "Servizio API Soap up and running"
"Plugin versions", "Versione del plugin installata"
